Keyword,Type,Search Volume (Est.),Competition,Current Position,Target Page,Priority,Notes
Preis pro TB SSD,Primary - USP,50-200,Low,,/ssd,High,Unique value prop
SSD Preisvergleich,Primary - Category,1000-5000,Medium,,/ssd,High,Main category
günstige SSD kaufen,Primary - Transactional,500-2000,Medium,,/ssd,High,Buyer intent
Samsung 990 Pro Preis,Product - Brand,500-1000,Low,,/p/samsung-990-pro-2tb,High,Product specific
beste SSD für PS5 2026,Long-tail - Intent,200-500,Low,,/blog/best-ssd-for-ps5-2026,Medium,Blog targets
NVMe SSD Angebote,Category - Deals,100-500,Low,,/ssd,Medium,
Festplatte Preis pro GB,Primary - USP,20-100,Very Low,,/hard-drives,High,Low competition
RAM günstig kaufen,Category - Transactional,500-2000,Medium,,/ram,Medium,
DDR5 RAM Preisvergleich,Product Type,200-500,Low,,/ram,Medium,Specific tech
Preis pro Watt Netzteil,Primary - USP,10-50,Very Low,,/power-supplies,High,No competition
beste Hardware Deals Deutschland,Broad - Location,100-500,Low,,/,Medium,
SSD unter 100 Euro,Price Bracket,200-1000,Medium,,/ssd,Medium,Filter opportunity
Samsung vs WD SSD Vergleich,Comparison,100-300,Low,,/blog,Low,Blog content idea
2TB NVMe SSD günstig,Specific + Intent,50-200,Low,,/ssd,High,Very targeted
M.2 SSD Preis pro TB,Technical + USP,20-100,Very Low,,/ssd,High,Your niche
